"field_content","count"
"ER-O/L-CH-AAPO",100
"ER-O/L-ABC-Clio",657
"ER-O/L-Sage-eRef",118
"ER-UAdelaide",2914
"ER-OCLC-WCS-ACS",1222
"ER-O/L-CH-EAS",145
"ER-O/L-CH-20thAfAmP",113
"ER-NCCO",13337
"ER-MoA",7480
"ER-O/L-CH-20thEP",585
"ER-Sabin-Amer",44361
"ER-YBP-DDA-disc",7572
"ER-YBP-SCIDIR",70
"ER-O/L-SPRebk-GAP2010ou",2242
"ER-OECD-iLibrary-Bks",11518
"ER-O/L-NetLibrary",11926
"ER-O/L-SPRebk",26055
"ER-O/L-SPRebk-OSU7",413
"ER-PQ-CHDC",4
"ER-O/L-SPRebk-OSU9",263
"ER-ECCO2",47815
"ER-O/L-SPRebk-OSU4",454
"ER-DOAB",1226
"ER-PQ-SSDC",5
"ER-O/L-CH-18thCF",96
"ER-O/L-YBPeDDA-inv",102
"ER-OCLC-WCS-IEEE-Xplore",421
"ER-O/L-SPRebk-OSU5",339
"ER-CH-AWS",194
"ER-EAI-1st",37370
"ER-O/L-OSO",5618
"ER-APA-PBK",3822
"ER-YBP-EBSCO",868
"ER-O/L-SPRebk-OSU8",305
"ER-O/L-SPRebk-OSU1",1078
"ER-O/L-GVRL",122
"ER-YBP-GALE",12
"ER-MESharpe-SOLR",7
"ER-NBER",20460
"ER-ASP-WASM",1169
"ER-O/L-SPRebk-OSU10",477
"ER-ECCO",136277
"ER-EAI-2nd",38093
"ER-InfoSci",1763
"ER-Momentum",15
"ER-YBP-MUSE",20
"ER-YBP-EBL",781
"ER-YBP-WILEY",87
"ER-OCLC-WCS-SDebk",1085
"ER-O/L-CH-20thAP",731
"ER-O/L-CH-APD",1288
"ER-O/L-SPRebk-OSU6",307
"ER-O/L-NebLibrary",1
"ER-O/L-CH-AmDr",706
"ER-PQDT",9355
"ER-O/L-CH-ENPRDR",1653
"ER-OCLC-WCS-Referex",1826
"ER-O/L-CH-EAF",565
"ER-O/L-SPRebk-GAP2011ou",3990
"ER-MOMW",58710
"ER-Emrld-BME",729
"ER-O/L-ACLS",3768
"ER-O/L-CH-ENVEDR",2283
"ER-CH-EEBO",94072
"ER-O/L-SPRebk-OSU11",239
"ER-O/L-CH-ENPO",4469
"ER-O/L-CH-Yeats",21
"ER-MOML",21791
"ER-CREDOREF",681
"ER-CRCnetBASE MRTS",7188
"ER-O/L-OR",35
"ER-HeinOnline",1482
"ER-GSL",300
"ER-O/L-Safari",23117
"ER-IET",290
"ER-O/L-Wiley-InterSci",3046
"ER-YBP-EBR",9176
"ER-O/L-SPRebk-OSU2",470
"ER-YBP-DDAinv",677
"ER-O/L-YBPeappr",562
"ER-SPIE-eBook",167
"ER-BWI-EBK",23
"ER-O/L-SPRebk-OSU3",335
"ER-MOMW-2",4710
"ER-CH-LION",16131
